Order;OWL URI;Download Time (ms);Axiom Count
225;http://data.bioontology.org/ontologies/PAV/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;678;292
226;http://data.bioontology.org/ontologies/PHYLONT/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1526;712
227;http://data.bioontology.org/ontologies/SO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;19579;20852
228;http://data.bioontology.org/ontologies/OBI/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;30117;31487
229;http://data.bioontology.org/ontologies/GCO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1297;22
230;http://data.bioontology.org/ontologies/IFAR/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;17051;24020
231;http://data.bioontology.org/ontologies/BFO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2332;575
232;http://data.bioontology.org/ontologies/MHC/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;21866;602
233;http://data.bioontology.org/ontologies/PDO_CAS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;24729;46495
234;http://data.bioontology.org/ontologies/DRON/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;982957;0
235;http://data.bioontology.org/ontologies/ONL-MSA/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;6265;6387
236;http://data.bioontology.org/ontologies/VIVO-ISF/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4553;4939
237;http://data.bioontology.org/ontologies/BOF/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3235;1993
238;http://data.bioontology.org/ontologies/SDO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;9400;7685
239;http://data.bioontology.org/ontologies/NATPRO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;79125;234994
240;http://data.bioontology.org/ontologies/ICPC/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;16464;8666
241;http://data.bioontology.org/ontologies/PEDTERM/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;9159;15911
242;http://data.bioontology.org/ontologies/ALLERGYDETECTOR/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;652;934
243;http://data.bioontology.org/ontologies/JERM/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2093;1085
244;http://data.bioontology.org/ontologies/PHENX/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2489;3141
245;http://data.bioontology.org/ontologies/SNMI/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1102779;999581
246;http://data.bioontology.org/ontologies/ECG/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;7241;7028
247;http://data.bioontology.org/ontologies/EFO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;127561;184472
248;http://data.bioontology.org/ontologies/PROVO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1836;973
249;http://data.bioontology.org/ontologies/HINO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;246450;329803
250;http://data.bioontology.org/ontologies/BAO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;23161;11345
